Dakota,1234,1675.000000,1.800000,4.900000,1.800000
BMW X3,1235,1850.000000,1.700000,4.500000,1.800000
Nissan XTrail,1236,2600.000000,1.700000,4.100000,5.000000
Chevrolet Corvete,1237,1470.000000,1.200000,4.200000,1.800000
Peugeot 307,1238,1300.000000,1.700000,2.600000,1.900000
Audi A3,1239,1300.000000,1.500000,2.500000,1.700000
Ford Focus,1240,1600.000000,1.500000,2.300000,1.600000
Megane,1241,1660.000000,1.400000,2.500000,1.900000
S10,1242,2500.000000,1.900000,4.200000,2.000000
Prisma,1243,1200.000000,1.500000,2.300000,1.700000
Chevrolet Camaro,1244,1500.000000,1.500000,2.300000,1.900000
Peugeot 207,1245,1230.000000,1.400000,3.800000,1.700000
Gol,1246,1300.000000,1.400000,1.600000,1.600000
Kombi,1247,2600.000000,2.000000,4.200000,1.800000
Ferrari 360,1248,3000.000000,1.100000,4.400000,1.900000
Toyota Corola,1249,1500.000000,1.500000,2.300000,1.900000
Porsche Cayene Turbo,1250,1230.000000,1.400000,3.800000,1.700000
Alfa Romeo 8c,1251,1300.000000,1.400000,1.600000,1.600000
Mazda RX7,1252,2600.000000,2.000000,4.200000,1.800000
Ford Mustang,1253,3000.000000,1.100000,4.400000,1.900000
